player_key,player_name,team_committed,deal_value,deal_count,sport_name,player_state,player_position,player_class_year
108671.0,Steve Angeli,Syracuse,,1,Football,NJ,QB,2022.0
108873.0,Steven Ashworth,Creighton,,1,,UT,CG,2018.0
108961.0,Steven Gilmore,Marshall,,1,Football,SC,CB,2018.0
109042.0,Steven Ortiz,Massachusetts,,1,Football,AZ,CB,2021.0
109045.0,Steven Parker,Texas State,,1,Football,TX,EDGE,2019.0
109094.0,Steven Stilianos,Iowa,,1,,VA,TE,2018.0
109140.0,Stevie Mitchell,Marquette,,1,Basketball,PA,PG,2021.0
109288.0,Sutton Smith,Memphis,,1,Football,GA,RB,2022.0
109417.0,T.J. Bass,Oregon,,1,Football,WA,IOL,2017.0
109484.0,T.J. Harvey,Southern Miss,,1,Football,GA,LS,2018.0
109559.0,T.J. Searcy,Texas A&M,,6,Football,GA,EDGE,2023.0
109626.0,Ta'Lon Cooper,South Carolina,,1,,SC,CG,2019.0
109627.0,Ta'Mere Robinson,USC,,1,Football,PA,LB,2023.0
109629.0,Ta'Quan Roberson,Buffalo,,5,Football,NJ,QB,2019.0
109671.0,Taco Dowler,Montana State,,1,Football,MT,WR,2022.0
109800.0,Tai Leonard,UTSA,,1,Football,TX,DL,2022.0
109816.0,Taijh Alston,Colorado,,1,Football,NC,EDGE,2017.0
109832.0,Taison Chatman,Ohio State,,1,Basketball,MN,SG,2023.0
109853.0,Taj Davis,California,,1,Football,CA,WR,2019.0
109866.0,Taj Manning,Kansas State,,1,Basketball,KS,PF,2022.0
109912.0,Takari Hickle,Oregon State,,1,Football,WA,DL,2022.0
109920.0,Takulve Williams,Kansas,,1,Football,LA,WR,2017.0
109970.0,Tamarick Best,FIU,,1,Football,FL,LB,2020.0
109973.0,Tamarion McDonald,Louisville,,1,Football,TN,S,2020.0
109993.0,Tamin Lipsey,Iowa State,,6,Basketball,IA,PG,2022.0
110002.0,Tamon Lynum,Pittsburgh,,1,Football,FL,CB,2020.0
110060.0,Tanner Bowles,Kentucky,,2,Football,KY,IOL,2019.0
110105.0,Tanner Groves,Oklahoma,,2,,WA,C,2017.0
