company_name,n_deals,n_unique_athletes,total_nil_value,avg_nil_value,top_school,top_position
Bring The Juice Dogs Calendar,5,5,0.0,0.0,Arizona State,WR
Telemus,5,5,0.0,0.0,Michigan,OT
Candlelighters Childhood Cancer Foundation of Neva,5,5,0.0,0.0,UNLV,PF
Slate Milk,5,5,0.0,0.0,Georgia,PG
Simple Truth,5,5,0.0,0.0,North Carolina,C
Target,5,5,0.0,0.0,Howard,SF
Side Chick,5,5,0.0,0.0,Pittsburgh,WR
Ronald McDonald House of Arkoma,5,5,0.0,0.0,Arkansas,QB
Texas Military Forces Museum,5,5,0.0,0.0,Texas,LB
Keep Indianapolis Beautiful,5,4,0.0,0.0,Boston College,CG
Diamond Kinetics,5,5,0.0,0.0,Florida State,IF
HawaiiUSA Federal Credit ,5,5,0.0,0.0,Hawaii,SG
Reign Body Fuel,5,5,0.0,0.0,Princeton,AT
Sephora,5,5,0.0,0.0,South Carolina,SG
Desert Financial Credit Union,5,5,0.0,0.0,Arizona State,SG
Hilton Lexington Downton,5,5,0.0,0.0,Kentucky,QB
OZONE Leotards,5,5,0.0,0.0,LSU,All
Campus Connection,5,4,1939860.0,1939860.0,Tulane,DL
Mitchell Heating & Cooling,5,5,0.0,0.0,North Carolina,IOL
BreakingT,5,5,0.0,0.0,Utah State,C
4C Coalition,5,5,0.0,0.0,Washington,LB
Lids,5,5,0.0,0.0,USC,SF
Be Like Bill,5,4,0.0,0.0,Indiana,LB
Boys Town USA,5,4,0.0,0.0,Alabama,SF
Par Mar Stores,5,5,0.0,0.0,West Virginia,IOL
Momentous,5,5,0.0,0.0,Michigan,DL
Morton's Grille,5,5,0.0,0.0,Houston,IOL
MUNICIPAL,5,5,0.0,0.0,NC State,QB
Big Brothers Big Sisters of Central Indiana,5,4,0.0,0.0,Miami,PF
Actively Black,5,4,0.0,0.0,Oregon,WR
Amazon Fashion,5,5,0.0,0.0,Utah,All
Lululemon,5,5,4199730.0,4199730.0,Toledo,WR
Wingstop,5,5,0.0,0.0,North Carolina,PG
Operation Shower,5,5,0.0,0.0,Texas,IF
Orange Mountain Designs,5,4,0.0,0.0,Tennessee,CG
iHop,5,5,0.0,0.0,Alabama,IOL
NIL FanBox,5,5,0.0,0.0,Texas,PG
Memphis Redbirds,5,5,2264304.0,2264304.0,Memphis,PF
Bright Swimwear,5,5,0.0,0.0,Louisville,S
Balance 180 Gym,5,5,0.0,0.0,Florida,WR
Meritrust Credit Union,5,5,0.0,0.0,Kansas State,C
OOFOS,5,5,0.0,0.0,LSU,QB
Chomp Out Hunger,4,4,0.0,0.0,Florida,PG
Postgame,4,4,0.0,0.0,Syracuse,S
Huck's Food & Fuel,4,3,0.0,0.0,Pittsburgh,SG
